City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Ulladulla,AU,-35.35,150.4667,82.87,62,62,8.59,light rain
157,Sibolga,ID,1.7427,98.7792,75.27,88,84,3.22,broken clouds
158,Vestmannaeyjar,IS,63.4427,-20.2734,33.03,78,100,16.35,overcast clouds
159,Havoysund,NO,70.9963,24.6622,20.28,76,100,7.4,overcast clouds
160,Kurtamysh,RU,54.9103,64.4319,3.18,99,100,4.41,overcast clouds
161,Murgab,TM,37.4966,61.9714,39.07,65,40,4.61,scattered clouds
162,Manokwari,ID,-0.8667,134.0833,80.29,76,93,3.78,overcast clouds
163,Umm Lajj,SA,25.0213,37.2685,60.85,50,2,14.7,clear sky
164,Chapais,CA,49.7834,-74.8492,-13.22,98,91,3.38,overcast clouds
165,Aklavik,CA,68.2191,-135.0107,-16.6,76,20,5.75,few clouds
166,Straumen,NO,63.8709,11.2999,35.94,92,100,3.56,moderate rain
167,Itarema,BR,-2.9248,-39.9167,72.97,86,100,8.61,overcast clouds
168,Adrar,MR,20.5022,-10.0711,73.15,12,100,3.69,overcast clouds
169,Bud,US,39.447,-86.1758,21.16,64,100,13.18,overcast clouds
170,Bonthe,SL,7.5264,-12.505,78.69,83,81,5.01,broken clouds
171,Mulege,MX,26.8833,-111.9833,66.78,44,2,15.7,clear sky
172,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.82,97,99,1.05,overcast clouds
173,Sabang,ID,5.8933,95.3214,81.23,78,36,6.29,scattered clouds
174,Henties Bay,NA,-22.116,14.2845,63.86,84,46,8.63,scattered clouds
175,Ahuimanu,US,21.4447,-157.8378,80.78,62,3,3.0,clear sky
176,Sukhobezvodnoye,RU,57.0491,44.8891,12.24,96,99,8.08,overcast clouds
177,Pangnirtung,CA,66.1451,-65.7125,-13.0,77,100,2.3,light snow
178,Okhotsk,RU,59.3833,143.3,9.16,77,100,17.07,overcast clouds
179,Yerbogachen,RU,61.2767,108.0108,-23.12,100,98,4.45,overcast clouds
180,Kavieng,PG,-2.5744,150.7967,82.83,74,99,5.17,light rain
181,Bantogon,PH,6.5333,124.0333,77.9,82,97,3.44,overcast clouds
182,Vicuna,CL,-30.0319,-70.7081,78.76,52,0,5.84,clear sky
183,Buraydah,SA,26.326,43.975,50.52,35,94,10.04,overcast clouds
184,Hamburg,DE,53.55,10.0,41.22,83,75,12.66,broken clouds
185,Erdenet,MN,49.0333,104.0833,-7.62,96,100,4.36,overcast clouds
186,Baijiantan,CN,45.6333,85.1833,0.54,93,14,1.05,few clouds
187,Oktyabrskiy,RU,54.4815,53.471,3.87,98,98,1.79,overcast clouds
188,Chipinge,ZW,-20.1883,32.6236,64.2,96,98,3.96,light rain
189,Sao Filipe,CV,14.8961,-24.4956,71.76,71,95,11.59,overcast clouds
190,Nome,US,64.5011,-165.4064,-8.9,69,0,5.84,clear sky
191,Brookings,US,44.3114,-96.7984,32.34,90,63,3.71,broken clouds
192,Provideniya,RU,64.3833,-173.3,0.16,97,20,2.93,few clouds
193,Kenai,US,60.5544,-151.2583,26.65,86,100,18.41,light snow
194,Marakkanam,IN,12.2,79.95,75.69,75,100,13.24,overcast clouds
195,Ixtapa,MX,20.7,-105.2,76.23,78,80,5.99,broken clouds
196,Husavik,IS,66.0449,-17.3389,23.32,93,94,29.15,snow
197,Geraldton,AU,-28.7667,114.6,72.01,78,0,8.05,clear sky
198,Kuusamo,FI,65.9667,29.1833,14.04,92,100,8.05,overcast clouds
199,Mahibadhoo,MV,3.7833,72.9667,81.05,63,42,15.35,scattered clouds
200,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.79,86,87,2.86,light rain
201,Kruisfontein,ZA,-34.0033,24.7314,63.88,83,29,5.44,light rain
202,Visby,SE,57.6409,18.296,35.82,69,78,10.36,broken clouds
