City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Lebu,CL,2022-01-17 21:40:48,-37.6167,-73.65,57.18,53,1,18.03
146,Provideniya,RU,2022-01-17 21:40:48,64.3833,-173.3,-3.89,65,0,11.18
147,Puerto Escondido,MX,2022-01-17 21:40:48,15.85,-97.0667,83.23,65,20,4.61
148,Dikson,RU,2022-01-17 21:40:48,73.5069,80.5464,5.29,88,100,10.13
149,Solnechnyy,RU,2022-01-17 21:40:49,50.7214,136.6319,2.41,88,99,9.64
150,Chuy,UY,2022-01-17 21:40:49,-33.6971,-53.4616,72.64,95,100,9.78
151,Kloulklubed,PW,2022-01-17 21:40:49,7.0419,134.2556,77.5,79,100,10.63
152,Sarangani,PH,2022-01-17 21:40:50,5.4033,125.4636,80.58,76,99,17.4
153,Saldanha,ZA,2022-01-17 21:37:14,-33.0117,17.9442,68.05,94,27,9.01
154,Ha Tinh,VN,2022-01-17 21:40:50,18.3333,105.9,59.4,88,100,7.54
155,Laukaa,RU,2022-01-17 21:40:50,58.7372,29.8453,22.15,73,99,13.33
156,Sakakah,SA,2022-01-17 21:40:50,29.9697,40.2064,40.57,43,41,8.46
157,Kamenka,RU,2022-01-17 21:40:51,51.3223,42.7678,31.75,97,100,18.37
158,Bucerias,MX,2022-01-17 21:36:55,20.75,-105.3333,78.78,73,0,11.5
159,Newala,TZ,2022-01-17 21:40:51,-10.9431,39.2787,67.39,88,100,1.1
160,Norman Wells,CA,2022-01-17 21:40:51,65.282,-126.8329,-36.36,61,20,3.44
161,Surt,LY,2022-01-17 21:40:52,31.2089,16.5887,57.45,72,90,5.3
162,Melito Di Porto Salvo,IT,2022-01-17 21:40:52,37.9222,15.7714,55.9,67,75,6.91
163,Rocha,UY,2022-01-17 21:40:52,-34.4833,-54.3333,69.69,92,100,11.77
164,Narsaq,GL,2022-01-17 21:40:52,60.9167,-46.05,26.82,93,89,3.04
165,Svetlyy,RU,2022-01-17 21:40:53,54.675,20.1347,35.96,67,8,17.92
166,Bathsheba,BB,2022-01-17 21:40:53,13.2167,-59.5167,81.21,65,40,18.41
167,Corinto,GR,2022-01-17 21:40:53,37.9407,22.9573,52.68,79,12,5.82
168,Bethel,US,2022-01-17 21:40:54,41.3712,-73.414,36.68,86,100,1.99
169,Fairbanks,US,2022-01-17 21:38:04,64.8378,-147.7164,5.81,80,0,0.0
170,Kropotkin,RU,2022-01-17 21:40:54,45.4375,40.5756,27.88,88,100,9.28
171,Richards Bay,ZA,2022-01-17 21:40:54,-28.783,32.0377,71.44,87,1,2.93
172,Kirakira,SB,2022-01-17 21:40:55,-10.4544,161.9205,84.2,76,61,4.36
173,Marsh Harbour,BS,2022-01-17 21:40:55,26.5412,-77.0636,69.51,58,16,22.28
174,Faya,SA,2022-01-17 21:40:55,18.3851,42.4509,59.11,80,76,6.13
175,Mizdah,LY,2022-01-17 21:40:55,31.4451,12.9801,47.48,80,71,5.82
176,Namatanai,PG,2022-01-17 21:40:56,-3.6667,152.4333,82.0,78,97,3.65
177,Naqadeh,IR,2022-01-17 21:40:56,36.9553,45.388,8.08,85,38,5.5
178,Kruisfontein,ZA,2022-01-17 21:40:56,-34.0033,24.7314,71.89,95,12,6.55
179,Krasnyy Chikoy,RU,2022-01-17 21:40:56,50.3643,108.7512,-1.3,100,98,0.63
